Stars	Price	Relv	ID
4.5  	22.49	6.7  	75873
5    	 6.49	4.1  	75874
5    	25.49	9.2  	75875
4    	 7.49	5.4  	75876
4    	13.49	6.2  	75877
2.5  	 9.49	5.3  	75878
1.5  	15.49	7.3  	75879
2.5  	 4.99	2    	75880
4.5  	24.49	7.4  	75881
5    	24.99	9.7  	75882
4    	25.49	4.8  	75883
1    	24.99	7.7  	75884
2    	 3.99	6.6  	75885
2    	 6.99	4.2  	75886
3.5  	22.99	0.1  	75887
4.5  	 8.99	6.4  	75888
1    	 5.99	0.6  	75889
5    	16.99	6.9  	75890
3    	26.99	5.5  	75891
4.5  	 8.99	0.6  	75892
2    	21.49	5.2  	75893
4.5  	26.49	4.7  	75894
4    	 5.99	5.6  	75895
2.5  	20.99	4.2  	75896
4.5  	18.99	7.6  	75897
1.5  	16.99	6.2  	75898
3    	19.99	2.7  	75899
4.5  	15.99	1.1  	75900
2    	 4.49	0.9  	75901
1    	17.49	7.5  	75902
4    	 4.99	0.5  	75903
4    	16.99	5.7  	75904
1.5  	27.99	2.9  	75905
3    	23.49	9.9  	75906
3    	 5.99	3.2  	75907
3.5  	18.99	8.6  	75908
4    	 5.49	7    	75909
4    	15.99	3.7  	75910
3.5  	22.99	3.3  	75911
2    	25.49	4.5  	75912
5    	 9.49	4    	75913
1    	19.99	5.2  	75914
4.5  	19.49	4    	75915
2    	10.99	9.5  	75916
2.5  	 8.49	0.4  	75917
4    	 6.99	3    	75918
5    	24.49	2    	75919
4    	17.49	6.5  	75920
4.5  	13.99	8.9  	75921
1    	14.99	8.6  	75922
1.5  	 9.99	3.9  	75923
3    	16.99	9.1  	75924
4    	 3.49	4.7  	75925
1.5  	12.49	0.3  	75926
2    	13.99	9.9  	75927
5    	25.49	8    	75928
2    	20.49	3.9  	75929
1.5  	 5.99	2.8  	75930
2.5  	16.49	9.4  	75931
1    	 3.49	8    	75932
1    	23.99	1.6  	75933
1.5  	 4.99	4.4  	75934
3    	13.99	4.4  	75935
2.5  	 5.99	6.4  	75936
4.5  	26.99	9.6  	75937
1    	10.99	4.5  	75938
4.5  	25.99	8.7  	75939
5    	 9.49	9.7  	75940
1    	26.99	2.8  	75941
5    	11.49	4.6  	75942
4.5  	 7.49	1.1  	75943
2    	 7.49	0.5  	75944
1    	22.99	1.7  	75945
1    	 9.49	8.9  	75946
1.5  	 3.49	1.1  	75947
2    	13.99	3.5  	75948
2.5  	 8.49	3.8  	75949
3.5  	12.49	3.5  	75950
3    	22.99	7.8  	75951
5    	 8.49	0.4  	75952
1    	24.99	0.9  	75953
1    	24.49	2.8  	75954
4.5  	21.99	1.5  	75955
1.5  	15.49	5.8  	75956
4    	 6.49	2.9  	75957
3    	23.49	0.5  	75958
3.5  	 5.49	5.1  	75959
2.5  	19.49	3.6  	75960
3    	22.99	6.3  	75961
3.5  	14.49	4.9  	75962
1.5  	10.49	4    	75963
4.5  	 7.49	5.1  	75964
2    	26.49	8.5  	75965
4    	14.49	3.6  	75966
3.5  	21.49	9    	75967
2.5  	14.99	9.6  	75968
1.5  	21.49	8.4  	75969
1.5  	16.99	3.8  	75970
4.5  	27.49	6.4  	75971
1.5  	22.99	4.8  	75972
4    	27.99	4.9  	75973
2.5  	 9.49	9.8  	75974
5    	21.49	4.2  	75975
1.5  	 7.99	3.9  	75976
5    	27.99	0.7  	75977
3    	17.99	3.5  	75978
3.5  	 9.99	7.1  	75979
1    	 7.99	7.4  	75980
1.5  	16.99	5.5  	75981
4    	 5.49	7.7  	75982
4.5  	13.99	0.1  	75983
3.5  	17.99	5    	75984
3.5  	18.49	0.9  	75985
1.5  	 3.99	7.6  	75986
2    	14.99	3    	75987
3.5  	20.99	7.5  	75988
1.5  	10.99	9.9  	75989
2.5  	24.49	2.3  	75990
2    	27.99	8.9  	75991
3    	19.99	1.3  	75992
2    	27.99	4.9  	75993
1    	20.99	2.8  	75994
1.5  	21.49	7.6  	75995
2.5  	19.49	6.5  	75996
5    	23.49	3.3  	75997
4    	13.49	9.6  	75998
2.5  	23.49	9.3  	75999
